Rating	A	B	C	D	E	gameCount.sum
0600	0.3664	0.1979	0.3225	0.1068	0.0005	58334.0000	
0650	0.3300	0.1992	0.3559	0.1105	0.0007	205990.0000	
0700	0.3060	0.1977	0.3795	0.1124	0.0011	475555.0000	
0750	0.2810	0.1997	0.3991	0.1160	0.0012	1070893.0000	
0800	0.2601	0.2044	0.4127	0.1188	0.0022	3298513.0000	
0850	0.2435	0.2085	0.4226	0.1214	0.0025	6745706.0000	
0900	0.2319	0.2122	0.4275	0.1241	0.0027	11290132.0000	
0950	0.2226	0.2161	0.4301	0.1266	0.0031	16528188.0000	
1000	0.2160	0.2198	0.4301	0.1289	0.0036	22766793.0000	
1050	0.2117	0.2234	0.4288	0.1302	0.0042	29057618.0000	
1100	0.2089	0.2261	0.4273	0.1308	0.0049	35636696.0000	
1150	0.2072	0.2286	0.4250	0.1313	0.0057	43116549.0000	
1200	0.2068	0.2320	0.4205	0.1318	0.0065	51231556.0000	
1250	0.2086	0.2361	0.4132	0.1320	0.0075	59564178.0000	
1300	0.2119	0.2411	0.4038	0.1318	0.0085	69037775.0000	
1350	0.2158	0.2467	0.3930	0.1319	0.0097	77416196.0000	
1400	0.2200	0.2530	0.3814	0.1316	0.0108	84634220.0000	
1450	0.2259	0.2593	0.3683	0.1313	0.0120	93103393.0000	
1500	0.2320	0.2665	0.3530	0.1316	0.0132	101483291.0000	
1550	0.2379	0.2756	0.3359	0.1325	0.0149	104603930.0000	
1600	0.2454	0.2839	0.3182	0.1328	0.0164	106174011.0000	
1650	0.2532	0.2921	0.3003	0.1330	0.0182	106570466.0000	
1700	0.2621	0.2997	0.2817	0.1331	0.0202	104417842.0000	
1750	0.2716	0.3063	0.2635	0.1332	0.0223	101827711.0000	
1800	0.2810	0.3121	0.2467	0.1326	0.0245	95153188.0000	
1850	0.2908	0.3169	0.2311	0.1314	0.0268	87892060.0000	
1900	0.3027	0.3197	0.2155	0.1299	0.0294	77488962.0000	
1950	0.3149	0.3217	0.2005	0.1282	0.0321	67204769.0000	
2000	0.3284	0.3228	0.1856	0.1258	0.0351	55432338.0000	
2050	0.3424	0.3216	0.1713	0.1245	0.0381	45623015.0000	
2100	0.3569	0.3181	0.1588	0.1229	0.0415	35790250.0000	
2150	0.3695	0.3143	0.1487	0.1211	0.0447	27361095.0000	
2200	0.3803	0.3094	0.1402	0.1204	0.0483	20259741.0000	
2250	0.3909	0.3037	0.1330	0.1194	0.0518	14609616.0000	
2300	0.4016	0.2979	0.1271	0.1179	0.0545	10448375.0000	
2350	0.4111	0.2919	0.1225	0.1167	0.0568	7126149.0000	
2400	0.4182	0.2873	0.1202	0.1158	0.0577	4847962.0000	
2450	0.4255	0.2847	0.1168	0.1141	0.0581	3162392.0000	
2500	0.4352	0.2797	0.1135	0.1125	0.0584	2033390.0000	
2550	0.4424	0.2780	0.1104	0.1107	0.0579	1318378.0000	
2600	0.4498	0.2784	0.1075	0.1062	0.0575	833963.0000	
2650	0.4561	0.2812	0.1049	0.1000	0.0571	519651.0000	
2700	0.4662	0.2826	0.0976	0.0969	0.0562	310558.0000	
2750	0.4860	0.2828	0.0861	0.0914	0.0533	175905.0000	
2800	0.5030	0.2729	0.0804	0.0932	0.0503	98392.0000	
2850	0.5000	0.2675	0.0867	0.0966	0.0490	53606.0000	
2900	0.4671	0.2680	0.1029	0.1084	0.0534	25938.0000	
2950	0.4295	0.2937	0.1149	0.1124	0.0492	11927.0000	
3000	0.2500	0.2778	0.1667	0.1296	0.1759	108.0000	
